id,active,name,bic
res_bank_100,TRUE,"BANCO ANGOLANO DE INVESTIMENTO, S.A",BAI
res_bank_101,TRUE,"BANCO ANGOLANO DE NEGÓCIOS E COMERCIO, S.A",BANC
res_bank_102,TRUE,"BANCO BAI MICROFINANÇAS, S.A",BMF
res_bank_103,TRUE,"BANCO BIC, S.A",BIC
res_bank_104,TRUE,"BANCO CAIXA GERAL TOTTA DE ANGOLA, S.A",BCGAT
res_bank_105,TRUE,"BANCO COMERCIAL ANGOLANO, S.A",BCA
res_bank_106,TRUE,"BANCO COMERCIAL DO HUAMBO, S.A",BCH
res_bank_107,TRUE,"BANCO DE COMÉRCIO E INDÚSTRIA, S.A",BCI
res_bank_108,TRUE,"BANCO DE DESENVOLVIMENTO DE ANGOLA, S.A",BDA
res_bank_109,TRUE,BANCO DE FOMENTO ANGOLANO,BFA
res_bank_110,TRUE,"BANCO DE NEGÓCIOS INTERNACIONAL, S.A",BNI
res_bank_111,TRUE,"BANCO DE POUPANÇA E CRÉDITO, S.A",BPC
res_bank_112,TRUE,"BANCO ESPÍRITO SANTO ANGOLA, S.A",BESA
res_bank_113,TRUE,"BANCO KWANZA INVESTIMENTO, S.A",BKI
res_bank_114,TRUE,"BANCO MILLENNIUM ANGOLA, S.A",BMA
res_bank_115,TRUE,"BANCO PARA PROMOÇÃO E DESENVOLVIMENTO, S.A",BPD
res_bank_116,TRUE,BANCO PORTUGUÊS INVESTIMENTO,BPN
res_bank_117,TRUE,"BANCO PRIVADO ATLÂNTICO, S.A",BPA
res_bank_118,TRUE,"BANCO REGIONAL DO KEVE, S.A",BRK
res_bank_119,TRUE,"BANCO SOL, S.A",BSOL
res_bank_120,TRUE,"BANCO VALOR, S.A",BVB
res_bank_121,TRUE,"BANCO VTB-ÁFRICA, S.A",VTB
res_bank_122,TRUE,"FINIBANCO ANGOLA, S.A",FNB
res_bank_123,TRUE,"STANDARD BANK DE ANGOLA, S.A",SBA
