id,name,code,country_id
res_country_state_100,Bengo,BGO,Angola
res_country_state_101,Benguela,BGA,Angola
res_country_state_102,Bié,BIE,Angola
res_country_state_103,Cabinda,CBD,Angola
res_country_state_104,Cuando Cubango,CCB,Angola
res_country_state_105,Cunene,CNN,Angola
res_country_state_106,Huambo,HBO,Angola
res_country_state_107,Huíla,HLA,Angola
res_country_state_108,Kwanza-Norte,KNT,Angola
res_country_state_109,Kwanza-Sul,KSL,Angola
res_country_state_110,Luanda,LDA,Angola
res_country_state_111,Lunda-Norte,LSL,Angola
res_country_state_112,Lunda-Sul,LNT,Angola
res_country_state_113,Malange,MLG,Angola
res_country_state_114,Moxico,MXC,Angola
res_country_state_115,Namibe,NMB,Angola
res_country_state_116,Uíge,UIG,Angola
res_country_state_117,Zaire,ZRE,Angola
